年月,縣市,用電性質,售電量(度),用電佔比(%)
11303,雲林縣,住宅,110042041,24.72
11303,雲林縣,服務業,62730930,14.09
11303,雲林縣,農林漁牧,32272065,7.25
11303,雲林縣,工業,240190403,53.95
11303,嘉義縣,住宅,76133067,31.25
11303,嘉義縣,服務業,38985386,16
11303,嘉義縣,農林漁牧,22088755,9.07
11303,嘉義縣,工業,106452118,43.69
11303,屏東縣,住宅,126217994,33.02
11303,屏東縣,服務業,87410917,22.87
11303,屏東縣,農林漁牧,61311495,16.04
11303,屏東縣,工業,107287405,28.07
11303,台東縣,住宅,30578925,41.71
11303,台東縣,服務業,29194914,39.83
11303,台東縣,農林漁牧,2521759,3.44
11303,台東縣,工業,11008832,15.02
11303,花蓮縣,住宅,50316107,25.83
11303,花蓮縣,服務業,49340200,25.33
11303,花蓮縣,農林漁牧,1962089,1.01
11303,花蓮縣,工業,93205566,47.84
11303,基隆市,住宅,53454455,50.23
11303,基隆市,服務業,35809497,33.65
11303,基隆市,農林漁牧,421970,0.4
11303,基隆市,工業,16727530,15.72
11303,新竹市,住宅,88208846,12.13
11303,新竹市,服務業,87497786,12.03
11303,新竹市,農林漁牧,659021,0.09
11303,新竹市,工業,550744527,75.74
11303,嘉義市,住宅,39553785,45.84
11303,嘉義市,服務業,39253291,45.49
11303,嘉義市,農林漁牧,626738,0.73
11303,嘉義市,工業,6846824,7.94
11303,澎湖縣,住宅,14977396,44.4
11303,澎湖縣,服務業,13925662,41.28
11303,澎湖縣,農林漁牧,327895,0.97
11303,澎湖縣,工業,4502407,13.35
11303,金門縣,住宅,12521778,51.16
11303,金門縣,服務業,9013373,36.82
11303,金門縣,農林漁牧,275882,1.13
11303,金門縣,工業,2666288,10.89
11303,連江縣,住宅,3076632,47.38
11303,連江縣,服務業,2721136,41.9
11303,連江縣,農林漁牧,4454,0.07
11303,連江縣,工業,691383,10.65
11302,新北市,住宅,642313557,44.63
11302,新北市,服務業,408713607,28.4
11302,新北市,農林漁牧,1501653,0.1
11302,新北市,工業,386571203,26.86
11302,台北市,住宅,374773612,37.8
11302,台北市,服務業,575185391,58.02
11302,台北市,農林漁牧,225015,0.02
11302,台北市,工業,41170864,4.15
11302,桃園市,住宅,437469473,21.85
11302,桃園市,服務業,296451853,14.81
11302,桃園市,農林漁牧,3884457,0.19
11302,桃園市,工業,1264306085,63.15
11302,台中市,住宅,474287942,19.92
11302,台中市,服務業,381037476,16.01
11302,台中市,農林漁牧,11223258,0.47
11302,台中市,工業,1513981425,63.6
11302,台南市,住宅,302199721,12.64
11302,台南市,服務業,200962656,8.4
11302,台南市,農林漁牧,30328552,1.27
11302,台南市,工業,1858171718,77.69
11302,高雄市,住宅,357031928,17.22
11302,高雄市,服務業,359640058,17.34
11302,高雄市,農林漁牧,19247533,0.93
11302,高雄市,工業,1337972605,64.52
11302,宜蘭縣,住宅,81550188,32.09
11302,宜蘭縣,服務業,55047448,21.66
11302,宜蘭縣,農林漁牧,4461561,1.76
11302,宜蘭縣,工業,113088998,44.5
11302,新竹縣,住宅,111442664,12.95
11302,新竹縣,服務業,70800292,8.23
11302,新竹縣,農林漁牧,1427129,0.17
11302,新竹縣,工業,676784220,78.65
11302,苗栗縣,住宅,79418053,15.07
11302,苗栗縣,服務業,44932258,8.53
11302,苗栗縣,農林漁牧,2248842,0.43
11302,苗栗縣,工業,400309005,75.97
11302,彰化縣,住宅,186805039,24.63
11302,彰化縣,服務業,163321257,21.53
11302,彰化縣,農林漁牧,32913186,4.34
11302,彰化縣,工業,375401684,49.5
11302,南投縣,住宅,81807888,38.03
11302,南投縣,服務業,45591643,21.19
11302,南投縣,農林漁牧,8545694,3.97
11302,南投縣,工業,79188266,36.81
11302,雲林縣,住宅,103105477,26.1
11302,雲林縣,服務業,53118470,13.44
11302,雲林縣,農林漁牧,30785762,7.79
11302,雲林縣,工業,208104234,52.67
11302,嘉義縣,住宅,66988469,32.57
11302,嘉義縣,服務業,33249471,16.17
11302,嘉義縣,農林漁牧,1129617,9.84
11302,嘉義縣,工業,85196918,41.42
11302,屏東縣,住宅,117549088,34.16
11302,屏東縣,服務業,79310287,23.05
11302,屏東縣,農林漁牧,58700134,17.06
11302,屏東縣,工業,88561373,25.74
11302,台東縣,住宅,35347059,48.6
11302,台東縣,服務業,26804119,36.86
11302,台東縣,農林漁牧,2367446,3.26
11302,台東縣,工業,8209888,11.29
11302,花蓮縣,住宅,56159233,32.84
11302,花蓮縣,服務業,45559209,26.64
11302,花蓮縣,農林漁牧,1793201,1.05
11302,花蓮縣,工業,67504338,39.47
11302,基隆市,住宅,61291621,56.19
11302,基隆市,服務業,32916733,30.18
11302,基隆市,農林漁牧,393367,0.36
11302,基隆市,工業,14477931,13.27
11302,新竹市,住宅,75099025,11.48
11302,新竹市,服務業,76845723,11.75
11302,新竹市,農林漁牧,677382,0.1
11302,新竹市,工業,501415168,76.66
11302,嘉義市,住宅,40160745,50.52
